,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
549,26th match,"Feroz Shah Kotla, Delhi",Evening,Kolkata Knight Riders,Field,Delhi Daredevils,186,Kolkata Knight Riders,159,Delhi Daredevils,27 runs,2016,Feroz Shah Kotla, Delhi
550,27th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,194,RCB,179,Sunrisers Hyderabad,15 runs,2016,Rajiv Gandhi International Stadium, Uppal
551,28th match,"Saurashtra Cricket Association Stadium, Rajkot",Evening,Gujarat Lions,Field,Kings XI Punjab,154,Gujarat Lions,131,Kings XI Punjab,23 runs,2016,Saurashtra Cricket Association Stadium, Rajkot
552,29th match,"Maharashtra Cricket Association Stadium, Pune",Night,Mumbai Indians,Field,Pune Warriors,159,Mumbai Indians,161,Mumbai Indians,8 wickets ,2016,Maharashtra Cricket Association Stadium, Pune
553,30th match,"M Chinnaswamy Stadium, Bangalore",Night,Kolkata Knight Riders,Field,RCB,185,Kolkata Knight Riders,189,Kolkata Knight Riders,5 wickets ,2016,M Chinnaswamy Stadium, Bangalore
554,31st match,"Saurashtra Cricket Association Stadium, Rajkot",Night,Delhi Daredevils,Field,Gujarat Lions,149,Delhi Daredevils,150,Delhi Daredevils,8 wickets ,2016,Saurashtra Cricket Association Stadium, Rajkot
555,32nd match,"Eden Gardens, Kolkata",Night,Kings XI Punjab,Field,Kolkata Knight Riders,164,Kings XI Punjab,157,Kolkata Knight Riders,7 runs,2016,Eden Gardens, Kolkata
556,33rd match,"Feroz Shah Kotla, Delhi",Night,Pune Warriors,Field,Delhi Daredevils,162,Pune Warriors,166,Pune Warriors,7 wickets ,2016,Feroz Shah Kotla, Delhi
557,34th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Field,Gujarat Lions,126,Sunrisers Hyderabad,129,Sunrisers Hyderabad,5 wickets ,2016,Rajiv Gandhi International Stadium, Uppal
558,35th match,"M Chinnaswamy Stadium, Bangalore",Evening,Royal Challengers Bangalore,Field,Pune Warriors,191,RCB,195,Royal Challengers Bangalore,7 wickets ,2016,M Chinnaswamy Stadium, Bangalore
559,36th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Delhi Daredevils,Field,Kings XI Punjab,181,Delhi Daredevils,172,Kings XI Punjab,9 runs,2016,Punjab Cricket Association IS Bindra Stadium, Mohali
560,37th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Evening,Mumbai Indians,Field,Sunrisers Hyderabad,177,Mumbai Indians,92,Sunrisers Hyderabad,85 runs,2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
561,38th match,"Eden Gardens, Kolkata",Night,Gujarat Lions,Field,Kolkata Knight Riders,158,Gujarat Lions,164,Gujarat Lions,5 wickets ,2016,Eden Gardens, Kolkata
562,39th match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Field,RCB,175,Kings XI Punjab,174,Royal Challengers Bangalore,1 run,2016,Punjab Cricket Association IS Bindra Stadium, Mohali
