,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
139,22nd match,"Sardar Patel Stadium, Motera, Ahmedabad",Night,Deccan Chargers,Bat,Deccan Chargers,148,Rajasthan Royals,151,Rajasthan Royals,8 wickets ,2010,Sardar Patel Stadium, Motera
140,23rd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,183,Kings XI Punjab,144,Kolkata Knight Riders,39 runs,2010,Punjab Cricket Association Stadium, Mohali
141,24th match,"Sardar Patel Stadium, Motera, Ahmedabad",Evening,Rajasthan Royals,Bat,Rajasthan Royals,177,Chennai Super Kings,160,Rajasthan Royals,17 runs,2010,Sardar Patel Stadium, Motera
142,25th match,"Dr DY Patil Sports Academy, Mumbai",Night,Deccan Chargers,Field,Mumbai Indians,172,Deccan Chargers,131,Mumbai Indians,41 runs,2010,Dr DY Patil Sports Academy, Mumbai
143,26th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,177,Kolkata Knight Riders,137,Delhi Daredevils,40 runs,2010,Feroz Shah Kotla, Delhi
144,27th match,"Brabourne Stadium, Mumbai",Night,Mumbai Indians,Field,Kings XI Punjab,163,Mumbai Indians,164,Mumbai Indians,4 wickets ,2010,Brabourne Stadium, Mumbai
145,28th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Royal Challengers Bangalore,Bat,RCB,161,Chennai Super Kings,162,Chennai Super Kings,5 wickets ,2010,MA Chidambaram Stadium,Chennai
146,29th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,188,Rajasthan Royals,121,Delhi Daredevils,67 runs,2010,Feroz Shah Kotla, Delhi
147,30th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,181,Deccan Chargers,157,Kolkata Knight Riders,24 runs,2010,Eden Gardens, Kolkata
148,31st match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Bat,Kings XI Punjab,181,RCB,184,Royal Challengers Bangalore,6 wickets ,2010,Punjab Cricket Association Stadium, Mohali
149,32nd match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Chennai Super Kings,Bat,Chennai Super Kings,246,Rajasthan Royals,223,Chennai Super Kings,23 runs,2010,MA Chidambaram Stadium,Chennai
150,33rd match,"Brabourne Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,178,Deccan Chargers,115,Mumbai Indians,63 runs,2010,Brabourne Stadium, Mumbai
151,34th match,"Eden Gardens, Kolkata",Evening,Kolkata Knight Riders,Bat,Kolkata Knight Riders,200,Kings XI Punjab,204,Kings XI Punjab,8 wickets ,2010,Eden Gardens, Kolkata
152,35th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,184,RCB,147,Delhi Daredevils,37 runs,2010,Feroz Shah Kotla, Delhi
153,36th match,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Night,Rajasthan Royals,Bat,Rajasthan Royals,159,Deccan Chargers,157,Rajasthan Royals,2 runs,2010,Vidarbha Cricket Association Stadium, Jamtha
154,37th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,165,Mumbai Indians,141,Chennai Super Kings,24 runs,2010,MA Chidambaram Stadium,Chennai
155,38th match,"Sawai Mansingh Stadium, Jaipur",Evening,Kings XI Punjab,Bat,Kings XI Punjab,153,Rajasthan Royals,157,Rajasthan Royals,9 wickets ,2010,Sawai Mansingh Stadium, Jaipur
156,39th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,181,Delhi Daredevils,167,Kolkata Knight Riders,14 runs,2010,Eden Gardens, Kolkata
157,40th match,"M Chinnaswamy Stadium, Bangalore",Night,Deccan Chargers,Field,RCB,184,Deccan Chargers,186,Deccan Chargers,7 wickets ,2010,M Chinnaswamy Stadium, Bangalore
158,41st match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Mumbai Indians,Bat,Mumbai Indians,154,Kings XI Punjab,158,Kings XI Punjab,6 wickets ,2010,Punjab Cricket Association Stadium, Mohali
159,42nd match,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Evening,Chennai Super Kings,Bat,Chennai Super Kings,138,Deccan Chargers,139,Deccan Chargers,6 wickets ,2010,Vidarbha Cricket Association Stadium, Jamtha
160,43rd match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Kolkata Knight Riders,160,RCB,162,Royal Challengers Bangalore,7 wickets ,2010,M Chinnaswamy Stadium, Bangalore
161,44th match,"Feroz Shah Kotla, Delhi",Evening,Delhi Daredevils,Bat,Delhi Daredevils,111,Kings XI Punjab,112,Kings XI Punjab,7 wickets ,2010,Feroz Shah Kotla, Delhi
162,45th match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Field,Mumbai Indians,174,Rajasthan Royals,137,Mumbai Indians,37 runs,2010,Sawai Mansingh Stadium, Jaipur
163,46th match,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Night,Royal Challengers Bangalore,Field,Deccan Chargers,151,RCB,138,Deccan Chargers,13 runs,2010,Vidarbha Cricket Association Stadium, Jamtha
164,47th match,"Brabourne Stadium, Mumbai",Evening,Mumbai Indians,Bat,Mumbai Indians,183,Delhi Daredevils,144,Mumbai Indians,39 runs,2010,Brabourne Stadium, Mumbai
165,48th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,139,Chennai Super Kings,143,Chennai Super Kings,9 wickets ,2010,MA Chidambaram Stadium,Chennai
166,49th match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Bat,Rajasthan Royals,130,RCB,132,Royal Challengers Bangalore,5 wickets ,2010,Sawai Mansingh Stadium, Jaipur
167,50th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,112,Delhi Daredevils,113,Delhi Daredevils,6 wickets ,2010,MA Chidambaram Stadium,Chennai
168,51st match,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Night,Deccan Chargers,Field,Kings XI Punjab,174,Deccan Chargers,178,Deccan Chargers,5 wickets ,2010,Himachal Pradesh Cricket Association Stadium, Dharamsala
169,52nd match,"M Chinnaswamy Stadium, Bangalore",Evening,Royal Challengers Bangalore,Field,Mumbai Indians,191,RCB,134,Mumbai Indians,57 runs,2010,M Chinnaswamy Stadium, Bangalore
170,53rd match,"Eden Gardens, Kolkata",Night,Rajasthan Royals,Bat,Rajasthan Royals,132,Kolkata Knight Riders,133,Kolkata Knight Riders,8 wickets ,2010,Eden Gardens, Kolkata
171,54th match,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Evening,Chennai Super Kings,Field,Kings XI Punjab,192,Chennai Super Kings,195,Chennai Super Kings,6 wickets ,2010,Himachal Pradesh Cricket Association Stadium, Dharamsala
172,55th match,"Feroz Shah Kotla, Delhi",Night,Deccan Chargers,Bat,Deccan Chargers,145,Delhi Daredevils,134,Deccan Chargers,11 runs,2010,Feroz Shah Kotla, Delhi
173,56th match,"Eden Gardens, Kolkata",Night,Mumbai Indians,Bat,Mumbai Indians,133,Kolkata Knight Riders,135,Kolkata Knight Riders,9 wickets ,2010,Eden Gardens, Kolkata
174,1st Semi-Final,"Dr DY Patil Sports Academy, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,184,RCB,149,Mumbai Indians,35 runs,2010,Dr DY Patil Sports Academy, Mumbai
175,2nd Semi-Final,"Dr DY Patil Sports Academy, Mumbai",Night,Chennai Super Kings,Bat,Chennai Super Kings,142,Deccan Chargers,104,Chennai Super Kings,38 runs,2010,Dr DY Patil Sports Academy, Mumbai
176,3rd Place Play-off,"Dr DY Patil Sports Academy, Mumbai",Night,Deccan Chargers,Bat,Deccan Chargers,82,RCB,86,Royal Challengers Bangalore,9 wickets ,2010,Dr DY Patil Sports Academy, Mumbai
177,Final,"Dr DY Patil Sports Academy, Mumbai",Night,Chennai Super Kings,Bat,Chennai Super Kings,168,Mumbai Indians,146,Chennai Super Kings,22 runs,2010,Dr DY Patil Sports Academy, Mumbai
178,1st match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,153,Kolkata Knight Riders,151,Chennai Super Kings,2 runs,2011,MA Chidambaram Stadium,Chennai
179,2nd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Rajasthan Royals,Field,Deccan Chargers,137,Rajasthan Royals,141,Rajasthan Royals,8 wickets ,2011,Rajiv Gandhi International Stadium, Uppal
180,3rd match,"Nehru Stadium, Kochi",Night,Kochi Tuskers Kerala,Bat,Kochi Tuskers Kerala,161,RCB,162,Royal Challengers Bangalore,6 wickets ,2011,Nehru Stadium, Kochi
181,4th match,"Feroz Shah Kotla, Delhi",Evening,Delhi Daredevils,Bat,Delhi Daredevils,95,Mumbai Indians,99,Mumbai Indians,8 wickets ,2011,Feroz Shah Kotla, Delhi
182,5th match,"Dr DY Patil Sports Academy, Mumbai",Night,Kings XI Punjab,Bat,Kings XI Punjab,112,Pune Warriors,113,Pune Warriors,7 wickets ,2011,Dr DY Patil Sports Academy, Mumbai
183,6th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,163,Deccan Chargers,154,Kolkata Knight Riders,9 runs,2011,Eden Gardens, Kolkata
184,7th match,"Sawai Mansingh Stadium, Jaipur",Evening,Delhi Daredevils,Bat,Delhi Daredevils,151,Rajasthan Royals,152,Rajasthan Royals,6 wickets ,2011,Sawai Mansingh Stadium, Jaipur
185,8th match,"M Chinnaswamy Stadium, Bangalore",Night,Mumbai Indians,Field,RCB,140,Mumbai Indians,143,Mumbai Indians,9 wickets ,2011,M Chinnaswamy Stadium, Bangalore
186,9th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Kings XI Punjab,Field,Chennai Super Kings,188,Kings XI Punjab,193,Kings XI Punjab,6 wickets ,2011,Punjab Cricket Association Stadium, Mohali
187,10th match,"Dr DY Patil Sports Academy, Mumbai",Night,Kochi Tuskers Kerala,Bat,Kochi Tuskers Kerala,148,Pune Warriors,151,Pune Warriors,4 wickets ,2011,Dr DY Patil Sports Academy, Mumbai
188,11th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Royal Challengers Bangalore,Field,Deccan Chargers,175,RCB,142,Deccan Chargers,33 runs,2011,Rajiv Gandhi International Stadium, Uppal
189,12th match,"Sawai Mansingh Stadium, Jaipur",Evening,Kolkata Knight Riders,Field,Rajasthan Royals,159,Kolkata Knight Riders,160,Kolkata Knight Riders,9 wickets ,2011,Sawai Mansingh Stadium, Jaipur
190,13th match,"Wankhede Stadium, Mumbai",Night,Kochi Tuskers Kerala,Field,Mumbai Indians,182,Kochi Tuskers Kerala,184,Kochi Tuskers Kerala,8 wickets ,2011,Wankhede Stadium, Mumbai
191,14th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Chennai Super Kings,Bat,Chennai Super Kings,183,RCB,162,Chennai Super Kings,21 runs,2011,MA Chidambaram Stadium,Chennai
192,15th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Kings XI Punjab,Field,Deccan Chargers,165,Kings XI Punjab,166,Kings XI Punjab,8 wickets ,2011,Rajiv Gandhi International Stadium, Uppal
193,16th match,"Dr DY Patil Sports Academy, Mumbai",Evening,Delhi Daredevils,Field,Pune Warriors,187,Delhi Daredevils,190,Delhi Daredevils,3 wickets ,2011,Dr DY Patil Sports Academy, Mumbai
194,17th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Rajasthan Royals,81,Kolkata Knight Riders,85,Kolkata Knight Riders,8 wickets ,2011,Eden Gardens, Kolkata
195,18th match,"Nehru Stadium, Kochi",Night,Kochi Tuskers Kerala,Field,Chennai Super Kings,131,Kochi Tuskers Kerala,135,Kochi Tuskers Kerala,7 wickets ,2011,Nehru Stadium, Kochi
196,19th match,"Feroz Shah Kotla, Delhi",Evening,Deccan Chargers,Bat,Deccan Chargers,168,Delhi Daredevils,152,Deccan Chargers,16 runs,2011,Feroz Shah Kotla, Delhi
197,20th match,"M Chinnaswamy Stadium, Bangalore",Night,no toss,Match Cancelled,RCB,0,Rajasthan Royals,0,Match cancelled,Match cancelled,2011,M Chinnaswamy Stadium, Bangalore
198,21st match,"Wankhede Stadium, Mumbai",Evening,Pune Warriors,Bat,Pune Warriors,118,Mumbai Indians,124,Mumbai Indians,7 wickets ,2011,Wankhede Stadium, Mumbai
199,22nd match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Kochi Tuskers Kerala,132,Kolkata Knight Riders,126,Kochi Tuskers Kerala,6 runs,2011,Eden Gardens, Kolkata
200,23rd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Rajasthan Royals,Field,Kings XI Punjab,195,Rajasthan Royals,147,Kings XI Punjab,48 runs,2011,Punjab Cricket Association Stadium, Mohali
201,24th match,"Eden Gardens, Kolkata",Evening,Royal Challengers Bangalore,Field,Kolkata Knight Riders,171,RCB,175,Royal Challengers Bangalore,9 wickets ,2011,Eden Gardens, Kolkata
202,25th match,"Wankhede Stadium, Mumbai",Night,Chennai Super Kings,Field,Mumbai Indians,164,Chennai Super Kings,156,Mumbai Indians,8 runs,2011,Wankhede Stadium, Mumbai
203,26th match,"Feroz Shah Kotla, Delhi",Night,Kings XI Punjab,Field,Delhi Daredevils,231,Kings XI Punjab,202,Delhi Daredevils,29 runs,2011,Feroz Shah Kotla, Delhi
204,27th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Deccan Chargers,Field,Mumbai Indians,172,Deccan Chargers,135,Mumbai Indians,37 runs,2011,Rajiv Gandhi International Stadium, Uppal
205,28th match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Field,Kochi Tuskers Kerala,109,Rajasthan Royals,111,Rajasthan Royals,8 wickets ,2011,Sawai Mansingh Stadium, Jaipur
206,29th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Pune Warriors,Field,Chennai Super Kings,142,Pune Warriors,117,Chennai Super Kings,25 runs,2011,MA Chidambaram Stadium,Chennai
207,30th match,"Feroz Shah Kotla, Delhi",Night,Royal Challengers Bangalore,Field,Delhi Daredevils,160,RCB,161,Royal Challengers Bangalore,3 wickets ,2011,Feroz Shah Kotla, Delhi
208,31st match,"Dr DY Patil Sports Academy, Mumbai",Evening,Pune Warriors,Bat,Pune Warriors,141,Chennai Super Kings,145,Chennai Super Kings,8 wickets ,2011,Dr DY Patil Sports Academy, Mumbai
209,32nd match,"Nehru Stadium, Kochi",Night,Kochi Tuskers Kerala,Field,Deccan Chargers,129,Kochi Tuskers Kerala,74,Deccan Chargers,55 runs,2011,Nehru Stadium, Kochi
210,33rd match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Kolkata Knight Riders,148,Delhi Daredevils,131,Kolkata Knight Riders,17 runs,2011,Feroz Shah Kotla, Delhi
211,34th match,"Sawai Mansingh Stadium, Jaipur",Evening,Rajasthan Royals,Field,Mumbai Indians,94,Rajasthan Royals,95,Rajasthan Royals,7 wickets ,2011,Sawai Mansingh Stadium, Jaipur
212,35th match,"M Chinnaswamy Stadium, Bangalore",Night,Pune Warriors,Field,RCB,181,Pune Warriors,155,Royal Challengers Bangalore,26 runs,2011,M Chinnaswamy Stadium, Bangalore
213,36th match,"Nehru Stadium, Kochi",Evening,Delhi Daredevils,Bat,Delhi Daredevils,157,Kochi Tuskers Kerala,119,Delhi Daredevils,38 runs,2011,Nehru Stadium, Kochi
214,37th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Kings XI Punjab,119,Kolkata Knight Riders,120,Kolkata Knight Riders,8 wickets ,2011,Eden Gardens, Kolkata
215,38th match,"Sawai Mansingh Stadium, Jaipur",Evening,Rajasthan Royals,Field,Pune Warriors,143,Rajasthan Royals,144,Rajasthan Royals,6 wickets ,2011,Sawai Mansingh Stadium, Jaipur
216,39th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,165,Deccan Chargers,146,Chennai Super Kings,19 runs,2011,MA Chidambaram Stadium,Chennai
217,40th match,"Wankhede Stadium, Mumbai",Evening,Kings XI Punjab,Field,Mumbai Indians,159,Kings XI Punjab,136,Mumbai Indians,23 runs,2011,Wankhede Stadium, Mumbai
218,41st match,"Feroz Shah Kotla, Delhi",Night,Kochi Tuskers Kerala,Field,Delhi Daredevils,140,Kochi Tuskers Kerala,141,Kochi Tuskers Kerala,7 wickets ,2011,Feroz Shah Kotla, Delhi
219,42nd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Deccan Chargers,Field,Kolkata Knight Riders,169,Deccan Chargers,149,Kolkata Knight Riders,20 runs,2011,Rajiv Gandhi International Stadium, Uppal
220,43rd match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Rajasthan Royals,Bat,Rajasthan Royals,147,Chennai Super Kings,149,Chennai Super Kings,8 wickets ,2011,MA Chidambaram Stadium,Chennai
221,44th match,"Dr DY Patil Sports Academy, Mumbai",Night,Pune Warriors,Field,Mumbai Indians,160,Pune Warriors,139,Mumbai Indians,21 runs,2011,Dr DY Patil Sports Academy, Mumbai
222,45th match,"Nehru Stadium, Kochi",Evening,Kolkata Knight Riders,Field,Kochi Tuskers Kerala,156,Kolkata Knight Riders,139,Kochi Tuskers Kerala,17 runs,2011,Nehru Stadium, Kochi
223,46th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Delhi Daredevils,Field,Deccan Chargers,175,Delhi Daredevils,179,Delhi Daredevils,4 wickets ,2011,Rajiv Gandhi International Stadium, Uppal
224,47th match,"M Chinnaswamy Stadium, Bangalore",Night,Kings XI Punjab,Field,RCB,205,Kings XI Punjab,120,Royal Challengers Bangalore,85 runs,2011,M Chinnaswamy Stadium, Bangalore
225,48th match,"Eden Gardens, Kolkata",Evening,Chennai Super Kings,Bat,Chennai Super Kings,114,Kolkata Knight Riders,61,Kolkata Knight Riders,10 runs ,2011,Eden Gardens, Kolkata
226,49th match,"Wankhede Stadium, Mumbai",Night,Delhi Daredevils,Field,Mumbai Indians,178,Delhi Daredevils,146,Mumbai Indians,32 runs,2011,Wankhede Stadium, Mumbai
227,50th match,"M Chinnaswamy Stadium, Bangalore",Evening,Kochi Tuskers Kerala,Bat,Kochi Tuskers Kerala,125,RCB,128,Royal Challengers Bangalore,9 wickets ,2011,M Chinnaswamy Stadium, Bangalore
228,51st match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Bat,Kings XI Punjab,119,Pune Warriors,120,Pune Warriors,5 wickets ,2011,Punjab Cricket Association Stadium, Mohali
229,52nd match,"Sawai Mansingh Stadium, Jaipur",Night,Rajasthan Royals,Field,Chennai Super Kings,196,Rajasthan Royals,133,Chennai Super Kings,63 runs,2011,Sawai Mansingh Stadium, Jaipur
230,53rd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Deccan Chargers,Bat,Deccan Chargers,136,Pune Warriors,137,Pune Warriors,6 wickets ,2011,Rajiv Gandhi International Stadium, Uppal
231,54th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Mumbai Indians,Field,Kings XI Punjab,163,Mumbai Indians,87,Kings XI Punjab,76 runs,2011,Punjab Cricket Association Stadium, Mohali
232,55th match,"Sawai Mansingh Stadium, Jaipur",Night,Royal Challengers Bangalore,Field,Rajasthan Royals,146,RCB,151,Royal Challengers Bangalore,9 wickets ,2011,Sawai Mansingh Stadium, Jaipur
233,56th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,176,Delhi Daredevils,158,Chennai Super Kings,18 runs,2011,MA Chidambaram Stadium,Chennai
234,57th match,"Holkar Cricket Stadium, Indore",Night,Kings XI Punjab,Field,Kochi Tuskers Kerala,178,Kings XI Punjab,181,Kings XI Punjab,6 wickets ,2011,Holkar Cricket Stadium, Indore
235,58th match,"M Chinnaswamy Stadium, Bangalore",Evening,Royal Challengers Bangalore,Field,Kolkata Knight Riders,89,RCB,105,Royal Challengers Bangalore,4 wickets ,2011,M Chinnaswamy Stadium, Bangalore
236,59th match,"Wankhede Stadium, Mumbai",Night,Deccan Chargers,Bat,Deccan Chargers,135,Mumbai Indians,125,Deccan Chargers,10 runs,2011,Wankhede Stadium, Mumbai
237,60th match,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Evening,Delhi Daredevils,Field,Kings XI Punjab,170,Delhi Daredevils,141,Kings XI Punjab,29 runs,2011,Himachal Pradesh Cricket Association Stadium, Dharamsala
238,61st match,"Holkar Cricket Stadium, Indore",Night,Kochi Tuskers Kerala,Field,Rajasthan Royals,97,Kochi Tuskers Kerala,98,Kochi Tuskers Kerala,8 wickets ,2011,Holkar Cricket Stadium, Indore
239,62nd match,"Dr DY Patil Sports Academy, Mumbai",Night,Deccan Chargers,Field,Pune Warriors,136,Deccan Chargers,138,Deccan Chargers,6 wickets ,2011,Dr DY Patil Sports Academy, Mumbai
240,63rd match,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Night,Kings XI Punjab,Bat,Kings XI Punjab,232,RCB,121,Kings XI Punjab,111 runs,2011,Himachal Pradesh Cricket Association Stadium, Dharamsala
241,64th match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,152,Kochi Tuskers Kerala,141,Chennai Super Kings,11 runs,2011,MA Chidambaram Stadium,Chennai
242,65th match,"Dr DY Patil Sports Academy, Mumbai",Night,Kolkata Knight Riders,Field,Pune Warriors,118,Kolkata Knight Riders,119,Kolkata Knight Riders,7 wickets ,2011,Dr DY Patil Sports Academy, Mumbai
243,66th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,133,Rajasthan Royals,134,Rajasthan Royals,10 wickets ,2011,Wankhede Stadium, Mumbai
244,67th match,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Evening,Kings XI Punjab,Field,Deccan Chargers,198,Kings XI Punjab,116,Deccan Chargers,82 runs,2011,Himachal Pradesh Cricket Association Stadium, Dharamsala
245,68th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Bat,Delhi Daredevils,56,Pune Warriors,56,Match Cancelled,Match Cancelled,2011,Feroz Shah Kotla, Delhi
246,69th match,"M Chinnaswamy Stadium, Bangalore",Evening,Royal Challengers Bangalore,Field,Chennai Super Kings,128,RCB,129,Royal Challengers Bangalore,8 wickets ,2011,M Chinnaswamy Stadium, Bangalore
247,70th match,"Eden Gardens, Kolkata",Night,Mumbai Indians,Field,Kolkata Knight Riders,175,Mumbai Indians,178,Mumbai Indians,5 wickets ,2011,Eden Gardens, Kolkata
248,1st Qualifying Final,"Wankhede Stadium, Mumbai",Night,Chennai Super Kings,Field,RCB,175,Chennai Super Kings,177,Chennai Super Kings,6 wickets ,2011,Wankhede Stadium, Mumbai
249,Elimination Final,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Kolkata Knight Riders,147,Mumbai Indians,148,Mumbai Indians,4 wickets ,2011,Wankhede Stadium, Mumbai
250,2nd Qualifying Final,"MA Chidambaram Stadium,Chennai, Chennai",Night,Mumbai Indians,Field,RCB,185,Mumbai Indians,142,Royal Challengers Bangalore,43 runs,2011,MA Chidambaram Stadium,Chennai
251,Final,"MA Chidambaram Stadium,Chennai, Chennai",Night,Chennai Super Kings,Bat,Chennai Super Kings,205,RCB,147,Chennai Super Kings,58 runs,2011,MA Chidambaram Stadium,Chennai
252,1st match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Mumbai Indians,Field,Chennai Super Kings,112,Mumbai Indians,115,Mumbai Indians,8 wickets ,2012,MA Chidambaram Stadium,Chennai
253,2nd match,"Eden Gardens, Kolkata",Night,Delhi Daredevils,Field,Kolkata Knight Riders,97,Delhi Daredevils,100,Delhi Daredevils,8 wickets ,2012,Eden Gardens, Kolkata
254,3rd match,"Wankhede Stadium, Mumbai",Evening,Mumbai Indians,Field,Pune Warriors,129,Mumbai Indians,101,Pune Warriors,28 runs,2012,Wankhede Stadium, Mumbai
255,4th match,"Sawai Mansingh Stadium, Jaipur",Night,Kings XI Punjab,Field,Rajasthan Royals,191,Kings XI Punjab,160,Rajasthan Royals,31 runs,2012,Sawai Mansingh Stadium, Jaipur
256,5th match,"M Chinnaswamy Stadium, Bangalore",Evening,Delhi Daredevils,Field,RCB,157,Delhi Daredevils,137,Royal Challengers Bangalore,20 runs,2012,M Chinnaswamy Stadium, Bangalore
257,6th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Night,Deccan Chargers,Field,Chennai Super Kings,193,Deccan Chargers,119,Chennai Super Kings,74 runs,2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
258,7th match,"Sawai Mansingh Stadium, Jaipur",Evening,Kolkata Knight Riders,Field,Rajasthan Royals,164,Kolkata Knight Riders,142,Rajasthan Royals,22 runs,2012,Sawai Mansingh Stadium, Jaipur
259,8th match,"Subrata Roy Sahara Stadium, Pune",Night,Pune Warriors,Bat,Pune Warriors,166,Kings XI Punjab,144,Pune Warriors,22 runs,2012,Subrata Roy Sahara Stadium, Pune
260,9th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Night,Deccan Chargers,Bat,Deccan Chargers,138,Mumbai Indians,142,Mumbai Indians,5 wickets ,2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
261,10th match,"M Chinnaswamy Stadium, Bangalore",Evening,Royal Challengers Bangalore,Field,Kolkata Knight Riders,165,RCB,123,Kolkata Knight Riders,42 runs,2012,M Chinnaswamy Stadium, Bangalore
262,11th match,"Feroz Shah Kotla, Delhi",Night,Delhi Daredevils,Field,Chennai Super Kings,110,Delhi Daredevils,111,Delhi Daredevils,8 wickets ,2012,Feroz Shah Kotla, Delhi
263,12th match,"Wankhede Stadium, Mumbai",Night,Rajasthan Royals,Field,Mumbai Indians,197,Rajasthan Royals,170,Mumbai Indians,27 runs,2012,Wankhede Stadium, Mumbai
264,13th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Royal Challengers Bangalore,Bat,RCB,205,Chennai Super Kings,208,Chennai Super Kings,5 wickets ,2012,MA Chidambaram Stadium,Chennai
265,14th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Kings XI Punjab,Field,Pune Warriors,115,Kings XI Punjab,116,Kings XI Punjab,7 wickets ,2012,Punjab Cricket Association Stadium, Mohali
266,15th match,"Eden Gardens, Kolkata",Night,Rajasthan Royals,Bat,Rajasthan Royals,131,Kolkata Knight Riders,137,Kolkata Knight Riders,5 wickets ,2012,Eden Gardens, Kolkata
267,16th match,"Subrata Roy Sahara Stadium, Pune",Night,Chennai Super Kings,Bat,Chennai Super Kings,155,Pune Warriors,156,Pune Warriors,7 wickets ,2012,Subrata Roy Sahara Stadium, Pune
268,17th match,"Eden Gardens, Kolkata",Evening,Kolkata Knight Riders,Field,Kings XI Punjab,134,Kolkata Knight Riders,132,Kings XI Punjab,2 runs,2012,Eden Gardens, Kolkata
269,18th match,"M Chinnaswamy Stadium, Bangalore",Night,Rajasthan Royals,Bat,Rajasthan Royals,195,RCB,136,Rajasthan Royals,59 runs,2012,M Chinnaswamy Stadium, Bangalore
